,Feature Importances
alcohol,0.11627754070147017
density,0.09370677580836131
volatile acidity,0.09099016067559178
total sulfur dioxide,0.08150111712025501
chlorides,0.07939364615004699
free sulfur dioxide,0.0789460263269975
residual sugar,0.07713631079817931
sulphates,0.07593477670254958
pH,0.0732350144618423
citric acid,0.07148516607972025
fixed acidity,0.06706657039848889
type_white,0.0027394775793927436
type_red,0.0027046588251284464
